customer_sk,recency,frequency,monetary,labels
62908.0,103,34,62977.44,0
1650.0,45,44,64579.19,0
6528.0,837,14,33663.6,1
56845.0,32,46,87594.17,0
5476.0,34,48,123073.05,0
69776.0,758,32,61636.0,1
37617.0,78,34,57559.75,0
96469.0,7,43,88864.15,0
2992.0,371,58,140942.25,2
22648.0,137,53,121065.86,0
88845.0,639,19,35355.15,1
93204.0,74,51,84880.41,0
1973.0,93,60,123487.85,2
21524.0,14,48,96203.35,0
61616.0,236,15,41242.94,0
3953.0,16,77,165505.96,2
68281.0,53,74,151534.16,2
59033.0,48,59,129966.27,2
50589.0,194,55,81879.87,0
77647.0,68,61,170552.11,2
40532.0,67,113,225447.73,2
63231.0,141,53,118229.56,0
75234.0,21,94,192375.5,2
72539.0,1124,36,76146.04,1
4905.0,556,57,119218.05,0
12113.0,37,44,68706.19,0
56584.0,53,109,234425.2,2
66241.0,1323,29,82502.37,1
67193.0,154,66,123358.66,2
86268.0,386,103,240443.42,2
12013.0,213,71,196780.75,2
11986.0,401,83,158703.74,2
55274.0,38,24,62075.94,0
1369.0,32,77,158789.11,2
78652.0,441,86,226294.24,2
25368.0,274,72,107256.61,2
53371.0,107,51,118484.68,0
32549.0,26,65,147141.79,2
9529.0,8,77,176704.49,2
19112.0,29,74,133053.01,2
87221.0,1,76,119969.65,2
78548.0,127,53,122341.29,0
94429.0,1284,44,74232.36,1
28106.0,112,48,116845.19,0
52079.0,139,57,112696.52,0
14502.0,6,67,113629.29,2
9597.0,57,51,95176.11,0
62143.0,394,97,178940.37,2
11138.0,422,46,137876.29,0
66835.0,456,42,78064.79,0
1777.0,61,97,216136.59,2
62569.0,124,61,170637.28,2
63248.0,421,54,125433.44,0
50736.0,385,26,57374.83,0
62993.0,65,68,127220.79,2
2738.0,414,35,42045.81,0
5576.0,71,72,168779.71,2
59287.0,692,30,87887.81,1
56346.0,384,50,103159.52,0
94428.0,282,19,39650.38,0
47300.0,712,65,130022.08,1
13058.0,464,68,169162.41,2
9810.0,759,44,90688.06,1
68825.0,1248,51,88321.73,1
94600.0,30,66,158834.36,2
31352.0,127,66,103947.97,2
77564.0,18,54,157843.07,2
29727.0,397,46,61446.17,0
95381.0,401,54,91852.0,0
10200.0,386,52,85711.73,0
31624.0,279,59,134976.77,2
80692.0,363,51,96152.46,0
73584.0,27,19,33393.44,0
39147.0,102,84,144725.58,2
44945.0,86,35,79497.93,0
6409.0,51,46,145229.13,2
86522.0,34,54,123356.78,2
61251.0,1126,37,73943.04,1
2627.0,160,75,184637.71,2
8033.0,407,52,123767.97,0
67260.0,378,25,33030.18,0
2040.0,93,47,99720.35,0
74469.0,26,45,90290.92,0
3164.0,1094,49,110277.19,1
67787.0,41,31,42382.46,0
9835.0,167,26,59793.15,0
67983.0,47,43,90687.25,0
80439.0,295,69,162604.96,2
54544.0,14,84,153501.34,2
10066.0,325,78,159366.91,2
12173.0,544,31,55895.49,1
80965.0,35,54,114331.03,0
29176.0,49,76,132615.69,2
8577.0,409,50,96206.89,0
42855.0,16,81,225582.58,2
79341.0,399,55,186653.81,2
2176.0,699,91,240717.58,2
72361.0,745,57,145919.58,1
28292.0,71,57,108786.48,0
10762.0,40,69,144412.74,2
68552.0,223,63,177491.85,2
16320.0,119,76,196597.33,2
94362.0,32,42,113805.69,0
43261.0,400,46,127239.03,0
30815.0,382,59,114935.65,2
71391.0,369,37,94671.69,0
14588.0,115,66,132541.41,2
43048.0,16,51,129408.45,2
29355.0,36,20,66219.28,0
11919.0,969,42,92286.85,1
13550.0,164,58,115371.03,2
95127.0,54,68,176327.67,2
13543.0,86,69,118704.92,2
85777.0,824,29,94726.32,1
14153.0,257,78,145963.65,2
15812.0,12,57,153283.18,2
18133.0,6,74,149027.41,2
67201.0,373,78,144194.14,2
24652.0,418,26,84251.64,0
7906.0,378,65,130917.38,2
89890.0,492,56,147675.42,2
71731.0,649,28,41008.68,1
54935.0,34,47,84138.63,0
71817.0,71,48,80840.03,0
55341.0,1110,21,54456.44,1
9198.0,1,83,168067.16,2
64744.0,36,72,151958.79,2
42762.0,392,70,149419.39,2
66684.0,156,75,143464.32,2
72777.0,637,17,44862.35,1
825.0,45,54,139168.93,2
47214.0,252,30,71435.57,0
22529.0,618,36,102440.64,1
4642.0,53,59,107260.41,0
26116.0,327,39,110585.78,0
10898.0,15,66,138176.58,2
24346.0,473,62,93539.11,0
36792.0,162,98,198871.94,2
23972.0,506,80,169474.23,2
73865.0,379,48,110224.72,0
51127.0,107,38,85122.46,0
99361.0,5,69,133673.32,2
74401.0,397,47,95700.69,0
72532.0,845,34,108546.94,1
36266.0,1144,31,57274.87,1
39326.0,21,31,48284.99,0
90213.0,417,31,90339.22,0
34888.0,9,91,175074.36,2
4080.0,10,75,128908.43,2
70492.0,22,70,150260.21,2
62704.0,233,28,53127.41,0
20778.0,1078,35,62942.42,1
68399.0,105,49,127016.68,0
18396.0,1220,9,12475.08,1
7251.0,47,38,100184.78,0
8160.0,606,12,14459.3,1
34788.0,418,11,21052.68,0
19663.0,854,12,17272.77,1
46602.0,118,52,91956.23,0
9284.0,94,35,97022.81,0
15404.0,21,53,109929.28,0
3587.0,1292,28,51637.03,1
82053.0,418,29,63779.18,0
5254.0,1124,21,40253.64,1
8024.0,15,22,39047.51,0
7174.0,140,30,54520.56,0
12965.0,793,49,94266.56,1
4352.0,42,48,120357.46,0
28632.0,248,68,144883.14,2
8332.0,277,72,192834.17,2
78294.0,389,25,62717.98,0
17154.0,65,54,123424.2,2
44173.0,237,56,100956.02,0
11637.0,34,56,125295.91,2
10508.0,28,45,115057.81,0
15955.0,44,26,67155.64,0
3946.0,115,75,186492.66,2
9556.0,57,35,78945.55,0
12684.0,106,50,104000.76,0
84093.0,1313,77,166751.88,1
4778.0,625,64,153266.86,2
10236.0,368,23,32325.16,0
5993.0,323,42,116538.79,0
16664.0,423,24,34434.61,0
20132.0,419,18,46982.2,0
65271.0,514,40,102480.23,0
58352.0,21,36,77864.59,0
57247.0,1139,36,81245.86,1
64617.0,411,46,106367.97,0
66495.0,965,20,48744.72,1
16066.0,30,12,25389.49,0
70321.0,137,14,31663.26,0
76559.0,330,29,81875.78,0
59321.0,80,54,131796.92,2
71043.0,839,19,30385.65,1
3300.0,694,17,35657.59,1
80871.0,30,28,68014.22,0
12326.0,232,34,40672.61,0
48778.0,392,28,43969.71,0
12691.0,171,49,120811.92,0
23301.0,30,41,117373.9,0
81916.0,687,32,58087.96,1
23607.0,530,37,84855.91,0
58710.0,421,29,86128.72,0
30808.0,819,33,71578.07,1
9420.0,367,8,25509.77,0
49757.0,925,16,42190.07,1
27086.0,959,28,92869.98,1
55188.0,119,22,45233.55,0
11596.0,143,34,75142.24,0
15676.0,376,27,48192.58,0
47851.0,37,21,46192.42,0
47181.0,976,29,60797.67,1
4549.0,1219,6,13348.48,1
3554.0,324,12,21178.63,0
93563.0,207,42,86173.74,0
63878.0,124,36,153786.99,0
65696.0,80,54,145659.08,2
53184.0,254,59,122531.24,2
26965.0,1,101,198295.33,2
83820.0,127,70,221501.16,2
697.0,394,53,74310.06,0
9163.0,419,85,165450.68,2
81100.0,26,41,73793.59,0
63945.0,19,27,57416.57,0
84908.0,60,50,203984.26,2
62985.0,650,30,66127.6,1
65324.0,298,38,74834.67,0
77657.0,367,67,124666.4,2
62432.0,30,58,143271.17,2
48288.0,2,73,160113.35,2
62092.0,69,99,187514.99,2
57554.0,13,94,199711.62,2
64608.0,406,23,33616.94,0
88053.0,789,72,168946.63,2
765.0,5,47,76868.79,0
24559.0,305,30,53544.35,0
16399.0,145,84,195375.33,2
66648.0,4,69,142898.84,2
96266.0,754,68,142537.93,1
64236.0,1,108,233090.16,2
63520.0,1157,31,45966.8,1
62203.0,784,11,29421.24,1
98680.0,135,37,73268.83,0
46449.0,252,78,236254.5,2
64472.0,1137,59,155625.66,1
67872.0,96,65,123792.84,2
60256.0,73,51,77654.83,0
67600.0,376,61,143603.37,2
83140.0,342,54,152100.28,2
66920.0,28,34,105498.73,0
46509.0,54,49,116134.41,0
67381.0,40,113,216709.66,2
89178.0,161,41,79700.29,0
1301.0,103,84,152978.01,2
80778.0,578,45,121899.0,1
68076.0,382,44,96004.64,0
11647.0,189,52,116901.25,0
77324.0,43,55,135959.13,2
54136.0,180,40,70235.0,0
1539.0,614,31,79330.42,1
33409.0,385,24,33031.79,0
11374.0,7,42,91834.07,0
58012.0,121,47,120101.86,0
15234.0,201,76,174570.34,2
70066.0,134,55,78980.28,0
80964.0,29,57,109545.89,0
72990.0,27,111,219240.29,2
56550.0,665,74,112184.41,2
7361.0,298,55,102284.48,0
93757.0,434,35,66866.31,0
72668.0,236,72,185753.19,2
94702.0,65,19,41298.0,0
97677.0,891,45,62082.14,1
86.0,298,82,162683.7,2
68960.0,12,63,124020.72,2
61667.0,410,40,93204.39,0
62568.0,53,72,139656.59,2
57647.0,105,16,26980.34,0
16764.0,585,77,197963.23,2
65569.0,7,43,102971.64,0
62840.0,20,58,123900.47,2
55904.0,45,48,80614.11,0
57543.0,508,49,90930.48,0
